industry_vertical,funding_year,total_funding_usd,previous_year_funding_usd,yoy_change_usd,yoy_change_percentage,deal_count,effective_from,effective_to,is_current,record_hash
Enterprise,2025,94026000,79992000,14034000,17.54,3,2026-08-08,null,true,Enterprise||2025||9.4026E7||7.9992E7||1.4034E7||17.54||3
FinTech,2020,233824000,null,null,null,20,2026-08-08,null,true,FinTech||2020||2.33824E8||20
FinTech,2021,523515000,233824000,289691000,123.89,7,2026-08-08,null,true,FinTech||2021||5.23515E8||2.33824E8||2.89691E8||123.89||7
FinTech,2022,170109000,523515000,-353406000,-67.51,12,2026-08-08,null,true,FinTech||2022||1.70109E8||5.23515E8||-3.53406E8||-67.51||12
FinTech,2023,308121000,170109000,138012000,81.13,11,2026-08-08,null,true,FinTech||2023||3.08121E8||1.70109E8||1.38012E8||81.13||11
FinTech,2024,353757000,308121000,45636000,14.81,19,2026-08-08,null,true,FinTech||2024||3.53757E8||3.08121E8||4.5636E7||14.81||19
FinTech,2025,42049000,353757000,-311708000,-88.11,4,2026-08-08,null,true,FinTech||2025||4.2049E7||3.53757E8||-3.11708E8||-88.11||4
FoodTech,2020,107097000,null,null,null,13,2026-08-08,null,true,FoodTech||2020||1.07097E8||13
FoodTech,2021,1125922000,107097000,1018825000,951.31,14,2026-08-08,null,true,FoodTech||2021||1.125922E9||1.07097E8||1.018825E9||951.31||14
FoodTech,2022,332168000,1125922000,-793754000,-70.5,9,2026-08-08,null,true,FoodTech||2022||3.32168E8||1.125922E9||-7.93754E8||-70.5||9
FoodTech,2023,659779000,332168000,327611000,98.63,22,2026-08-08,null,true,FoodTech||2023||6.59779E8||3.32168E8||3.27611E8||98.63||22
FoodTech,2024,817939000,659779000,158160000,23.97,15,2026-08-08,null,true,FoodTech||2024||8.17939E8||6.59779E8||1.5816E8||23.97||15
FoodTech,2025,434377000,817939000,-383562000,-46.89,7,2026-08-08,null,true,FoodTech||2025||4.34377E8||8.17939E8||-3.83562E8||-46.89||7
HealthTech,2020,654109000,null,null,null,15,2026-08-08,null,true,HealthTech||2020||6.54109E8||15
HealthTech,2021,421952000,654109000,-232157000,-35.49,12,2026-08-08,null,true,HealthTech||2021||4.21952E8||6.54109E8||-2.32157E8||-35.49||12
HealthTech,2022,102956000,421952000,-318996000,-75.6,13,2026-08-08,null,true,HealthTech||2022||1.02956E8||4.21952E8||-3.18996E8||-75.6||13
HealthTech,2023,114928000,102956000,11972000,11.63,15,2026-08-08,null,true,HealthTech||2023||1.14928E8||1.02956E8||1.1972E7||11.63||15
HealthTech,2024,314944000,114928000,200016000,174.04,13,2026-08-08,null,true,HealthTech||2024||3.14944E8||1.14928E8||2.00016E8||174.04||13
HealthTech,2025,14628000,314944000,-300316000,-95.36,8,2026-08-08,null,true,HealthTech||2025||1.4628E7||3.14944E8||-3.00316E8||-95.36||8
Logistics,2020,2447000,null,null,null,6,2026-08-08,null,true,Logistics||2020||2447000.0||6
Logistics,2021,279161000,2447000,276714000,11308.3,4,2026-08-08,null,true,Logistics||2021||2.79161E8||2447000.0||2.76714E8||11308.3||4
Logistics,2022,109766000,279161000,-169395000,-60.68,15,2026-08-08,null,true,Logistics||2022||1.09766E8||2.79161E8||-1.69395E8||-60.68||15
Logistics,2023,581192000,109766000,471426000,429.48,16,2026-08-08,null,true,Logistics||2023||5.81192E8||1.09766E8||4.71426E8||429.48||16
Logistics,2024,396962000,581192000,-184230000,-31.7,13,2026-08-08,null,true,Logistics||2024||3.96962E8||5.81192E8||-1.8423E8||-31.7||13
Logistics,2025,2521000,396962000,-394441000,-99.36,3,2026-08-08,null,true,Logistics||2025||2521000.0||3.96962E8||-3.94441E8||-99.36||3
Media,2020,1006782000,null,null,null,16,2026-08-08,null,true,Media||2020||1.006782E9||16
Media,2021,238148000,1006782000,-768634000,-76.35,13,2026-08-08,null,true,Media||2021||2.38148E8||1.006782E9||-7.68634E8||-76.35||13
Media,2022,428421000,238148000,190273000,79.9,14,2026-08-08,null,true,Media||2022||4.28421E8||2.38148E8||1.90273E8||79.9||14
Media,2023,348381000,428421000,-80040000,-18.68,20,2026-08-08,null,true,Media||2023||3.48381E8||4.28421E8||-8.004E7||-18.68||20
Media,2024,253923000,348381000,-94458000,-27.11,18,2026-08-08,null,true,Media||2024||2.53923E8||3.48381E8||-9.4458E7||-27.11||18
Media,2025,16794000,253923000,-237129000,-93.39,4,2026-08-08,null,true,Media||2025||1.6794E7||2.53923E8||-2.37129E8||-93.39||4
Mobility,2020,452298000,null,null,null,9,2026-08-08,null,true,Mobility||2020||4.52298E8||9
Mobility,2021,149777000,452298000,-302521000,-66.89,17,2026-08-08,null,true,Mobility||2021||1.49777E8||4.52298E8||-3.02521E8||-66.89||17
Mobility,2022,953594000,149777000,803817000,536.68,17,2026-08-08,null,true,Mobility||2022||9.53594E8||1.49777E8||8.03817E8||536.68||17
Mobility,2023,525692000,953594000,-427902000,-44.87,15,2026-08-08,null,true,Mobility||2023||5.25692E8||9.53594E8||-4.27902E8||-44.87||15
Mobility,2024,131175000,525692000,-394517000,-75.05,20,2026-08-08,null,true,Mobility||2024||1.31175E8||5.25692E8||-3.94517E8||-75.05||20
Mobility,2025,247560000,131175000,116385000,88.72,8,2026-08-08,null,true,Mobility||2025||2.4756E8||1.31175E8||1.16385E8||88.72||8
RealEstate,2020,398737000,null,null,null,10,2026-08-08,null,true,RealEstate||2020||3.98737E8||10
RealEstate,2021,24985000,398737000,-373752000,-93.73,14,2026-08-08,null,true,RealEstate||2021||2.4985E7||3.98737E8||-3.73752E8||-93.73||14
RealEstate,2022,436040000,24985000,411055000,1645.21,16,2026-08-08,null,true,RealEstate||2022||4.3604E8||2.4985E7||4.11055E8||1645.21||16
RealEstate,2023,54859000,436040000,-381181000,-87.42,17,2026-08-08,null,true,RealEstate||2023||5.4859E7||4.3604E8||-3.81181E8||-87.42||17
RealEstate,2024,329440000,54859000,274581000,500.52,19,2026-08-08,null,true,RealEstate||2024||3.2944E8||5.4859E7||2.74581E8||500.52||19
RealEstate,2025,23371000,329440000,-306069000,-92.91,3,2026-08-08,null,true,RealEstate||2025||2.3371E7||3.2944E8||-3.06069E8||-92.91||3
Retail,2020,261656000,null,null,null,16,2026-08-08,null,true,Retail||2020||2.61656E8||16
Retail,2021,724545000,261656000,462889000,176.91,15,2026-08-08,null,true,Retail||2021||7.24545E8||2.61656E8||4.62889E8||176.91||15
Retail,2022,794386000,724545000,69841000,9.64,17,2026-08-08,null,true,Retail||2022||7.94386E8||7.24545E8||6.9841E7||9.64||17
Retail,2023,286791000,794386000,-507595000,-63.9,14,2026-08-08,null,true,Retail||2023||2.86791E8||7.94386E8||-5.07595E8||-63.9||14
Retail,2024,287669000,286791000,878000,0.31,20,2026-08-08,null,true,Retail||2024||2.87669E8||2.86791E8||878000.0||0.31||20
Retail,2025,318027000,287669000,30358000,10.55,7,2026-08-08,null,true,Retail||2025||3.18027E8||2.87669E8||3.0358E7||10.55||7
SaaS,2020,44101000,null,null,null,10,2026-08-08,null,true,SaaS||2020||4.4101E7||10
SaaS,2021,64876000,44101000,20775000,47.11,7,2026-08-08,null,true,SaaS||2021||6.4876E7||4.4101E7||2.0775E7||47.11||7
SaaS,2022,227742000,64876000,162866000,251.04,17,2026-08-08,null,true,SaaS||2022||2.27742E8||6.4876E7||1.62866E8||251.04||17
SaaS,2023,379690000,227742000,151948000,66.72,17,2026-08-08,null,true,SaaS||2023||3.7969E8||2.27742E8||1.51948E8||66.72||17
SaaS,2024,532683000,379690000,152993000,40.29,12,2026-08-08,null,true,SaaS||2024||5.32683E8||3.7969E8||1.52993E8||40.29||12
SaaS,2025,380027000,532683000,-152656000,-28.66,9,2026-08-08,null,true,SaaS||2025||3.80027E8||5.32683E8||-1.52656E8||-28.66||9
