item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000062,ORD000062,P00227,3,7247.72,28.55
ITEM000063,ORD000063,P00315,2,11557.65,12.19
ITEM000064,ORD000064,P00451,3,19788.76,32.21
ITEM000065,ORD000065,P00132,2,61943.94,34.37
ITEM000066,ORD000066,P00264,2,40896.26,8.47
ITEM000067,ORD000067,P00311,2,32044.97,10.38
ITEM000068,ORD000068,P00521,5,10403.81,24.74
ITEM000069,ORD000069,P00175,3,58174.58,23.49
ITEM000070,ORD000070,P00514,3,36448.29,15.12
ITEM000071,ORD000071,P00497,2,7340.06,19.28
ITEM000072,ORD000072,P00496,-4,52040.6,37.88
ITEM000073,ORD000073,P00351,2,59249.64,8.97
ITEM000074,ORD000074,P00285,5,19806.24,31.57
ITEM000075,ORD000075,P00202,3,45425.68,22.78
ITEM000076,ORD000076,P00013,5,30220.34,29.66
ITEM000077,ORD000077,P00373,1,25182.87,3.95
ITEM000078,ORD000078,P00338,5,839.61,22.13
ITEM000079,ORD000079,P00548,5,69380.01,38.82
ITEM000080,ORD000080,P00058,4,23556.23,9.92
ITEM000081,ORD000081,P00263,2,9885.39,26.03
ITEM000082,ORD000082,P00251,2,44646.47,18.24
ITEM000083,ORD000083,P00042,5,28979.23,11.1
ITEM000084,ORD000084,P00195,1,47538.51,5.3
ITEM000085,ORD000085,P00311,1,26448.08,9.76
ITEM000086,ORD000086,P00596,4,24074.35,21.48
ITEM000087,ORD000087,P00053,3,16421.03,2.92
ITEM000088,ORD000088,P00490,1,4477.85,19.04
ITEM000089,ORD000089,P00103,5,16796.14,23.93
ITEM000090,ORD000090,P00308,5,15932.08,17.19
ITEM000091,ORD000091,P00115,4,81461.72,7.79
ITEM000092,ORD000092,P00468,1,51558.27,16.29
ITEM000093,ORD000093,P00278,4,15960.21,13.15
ITEM000094,ORD000094,P00495,5,44602.23,25.81
ITEM000095,ORD000095,P00271,5,38343.96,11.01
ITEM000096,ORD000096,P00575,5,23228.88,17.6
ITEM000097,ORD000097,P00187,4,46966.31,35.73
ITEM000098,ORD000098,P00522,4,44488.04,7.15
ITEM000099,ORD000099,P00443,-3,3741.06,34.48
ITEM000100,ORD000100,P00351,5,75418.74,7.74
ITEM000101,ORD000101,P00112,2,35826.57,20.07
ITEM000102,ORD000102,P00328,5,68191.69,27.39
ITEM000103,ORD000103,P00216,5,7471.07,12.95
ITEM000104,ORD000104,P00197,4,70352.11,34.09
ITEM000105,ORD000105,P00161,3,11894.6,39.25
ITEM000106,ORD000106,P00427,3,60564.66,10.51
ITEM000107,ORD000107,P00311,3,25515.33,13.35
ITEM000108,ORD000108,P00363,3,11247.3,17.01
ITEM000109,ORD000109,P00403,4,40852.26,37.6
ITEM000110,ORD000110,P00057,4,65084.58,32.21
ITEM000111,ORD000111,P00468,3,44989.87,28.17
ITEM000112,ORD000112,P00214,3,57131.9,14.94
ITEM000113,ORD000113,P00330,4,20339.06,13.03
ITEM000114,ORD000114,P00574,2,58373.59,24.7
ITEM000115,ORD000115,P00451,3,19242.91,9.73
ITEM000116,ORD000116,P00334,4,5006.12,23.72
ITEM000117,ORD000117,P00048,4,62975.03,36.36
ITEM000118,ORD000118,P00499,2,59464.66,24.27
ITEM000119,ORD000119,P00385,1,48382.83,25.59
ITEM000120,ORD000120,P00283,5,53273.57,36.94
ITEM000121,ORD000121,P00114,4,32477.98,29.99
ITEM000122,ORD000122,P00333,4,51406.64,34.96
ITEM000123,ORD000123,P00307,5,24749.02,3.52
ITEM000124,ORD000124,P00252,3,45860.3,30.51
ITEM000125,ORD000125,P00267,5,58242.89,11.66
ITEM000126,ORD000126,P00023,2,58348.04,2.72
ITEM000127,ORD000127,P00322,3,50903.25,17.83
ITEM000128,ORD000128,P00220,2,43033.22,9.11
ITEM000129,ORD000129,P00371,3,883.82,38.86
ITEM000130,ORD000130,P00266,3,32774.78,37.31
ITEM000131,ORD000131,P00144,1,41312.74,17.09
ITEM000132,ORD000132,P00499,1,77177.54,2.41
ITEM000133,ORD000133,P00525,3,27777.62,17.49
ITEM000134,ORD000134,P00033,5,36577.39,13.08
ITEM000135,ORD000135,P00552,4,23278.15,13.35
ITEM000136,ORD000136,P00069,1,50313.29,38.97
ITEM000137,ORD000137,P00116,5,32869.58,20.54
ITEM000138,ORD000138,P00090,5,83092.2,24.4
ITEM000139,ORD000139,P00196,1,10831.33,17.24
ITEM000140,ORD000140,P00284,4,56224.79,35.22
ITEM000141,ORD000141,P00156,3,23757.52,25.91
ITEM000142,ORD000142,P00348,4,64191.7,27.7
ITEM000143,ORD000143,P00443,1,4430.21,11.75
ITEM000144,ORD000144,P00400,1,20470.61,12.9
ITEM000145,ORD000145,P00155,3,63759.29,23.38
ITEM000146,ORD000146,P00335,5,47353.31,26.62
ITEM000147,ORD000147,P00589,3,28731.84,28.6
ITEM000148,ORD000148,P00591,2,49708.68,5.93
ITEM000149,ORD000149,P00316,2,5000.32,21.34
ITEM000150,ORD000150,P00041,2,65280.53,38.19
ITEM000151,ORD000151,P00336,3,57636.98,26.33
ITEM000152,ORD000152,P00207,3,27783.54,39.64
ITEM000153,ORD000153,P00239,2,18907.49,1.09
ITEM000154,ORD000154,P00451,1,27582.36,15.0
ITEM000155,ORD000155,P00455,2,9416.45,17.87
ITEM000156,ORD000156,P00409,-2,45590.4,15.22
ITEM000157,ORD000157,P00128,-1,76694.34,20.27
ITEM000158,ORD000158,P00593,5,3640.72,30.26
ITEM000159,ORD000159,P00124,4,20152.66,14.34
ITEM000160,ORD000160,P00325,4,39716.58,39.41
ITEM000161,ORD000161,P00520,3,32071.55,20.35
ITEM000162,ORD000162,P00468,1,44644.18,32.14
ITEM000163,ORD000163,P00410,1,36906.8,37.83
ITEM000164,ORD000164,P00067,4,80957.54,26.08
ITEM000165,ORD000165,P00235,1,9514.77,32.41
ITEM000166,ORD000166,P00483,1,75483.41,10.99
ITEM000167,ORD000167,P00332,1,7056.53,9.96
ITEM000168,ORD000168,P00579,1,49784.64,6.23
ITEM000169,ORD000169,P00482,1,54409.56,32.1
ITEM000170,ORD000170,P00301,3,5734.27,32.93
ITEM000171,ORD000171,P00430,-2,17188.79,20.74
ITEM000172,ORD000172,P00156,2,27976.67,37.0
ITEM000173,ORD000173,P00167,-1,10419.51,12.24
ITEM000174,ORD000174,P00383,3,70320.31,1.14
ITEM000175,ORD000175,P00027,3,44823.11,18.82
ITEM000176,ORD000176,P00148,4,16651.28,15.08
ITEM000177,ORD000177,P00538,2,43219.34,0.6
ITEM000178,ORD000178,P00229,1,5560.53,2.65
ITEM000179,ORD000179,P00488,4,71017.69,34.25
ITEM000180,ORD000180,P00550,4,48302.87,24.13
ITEM000181,ORD000181,P00001,-3,26902.31,35.98
ITEM000182,ORD000182,P00264,2,48435.91,21.6
ITEM000183,ORD000183,P00099,4,32147.79,33.24
ITEM000184,ORD000184,P00585,2,3448.74,20.59
ITEM000185,ORD000185,P00147,2,76436.12,29.73
ITEM000186,ORD000186,P00414,3,2225.26,4.21
ITEM000187,ORD000187,P00232,3,27422.89,26.37
ITEM000188,ORD000188,P00337,4,13898.56,20.8
ITEM000189,ORD000189,P00592,3,27912.26,5.27
ITEM000190,ORD000190,P00433,3,66093.59,23.17
ITEM000191,ORD000191,P00036,4,48621.58,31.77
ITEM000192,ORD000192,P00187,1,51027.26,1.36
ITEM000193,ORD000193,P00244,2,20711.26,0.47
ITEM000194,ORD000194,P00493,4,16981.39,7.51
ITEM000195,ORD000195,P00592,4,24227.18,8.59
ITEM000196,ORD000196,P00270,5,17575.61,29.8
ITEM000197,ORD000197,P00527,3,32070.74,35.7
ITEM000198,ORD000198,P00262,3,11798.52,19.49
ITEM000199,ORD000199,P00563,4,45093.38,26.72
ITEM000200,ORD000200,P00351,5,57786.46,31.28
ITEM000201,ORD000201,P00437,1,66433.07,5.05
ITEM000202,ORD000202,P00233,4,844.43,4.81
ITEM000203,ORD000203,P00303,2,1349.01,12.28
ITEM000204,ORD000204,P00447,5,76141.67,3.32
ITEM000205,ORD000205,P00517,2,24480.88,37.65
ITEM000206,ORD000206,P00524,-2,38852.98,27.22
ITEM000207,ORD000207,P00018,2,8020.78,14.16
ITEM000208,ORD000208,P00156,5,35125.92,21.0
ITEM000209,ORD000209,P00546,3,44175.09,27.75
ITEM000210,ORD000210,P00544,2,18517.81,4.01
ITEM000211,ORD000211,P00170,5,23684.1,37.23
ITEM000212,ORD000212,P00156,5,36314.41,24.39
ITEM000213,ORD000213,P00208,3,56249.99,38.77
ITEM000214,ORD000214,P00411,3,54665.25,20.87
ITEM000215,ORD000215,P00432,4,16632.26,5.44
ITEM000216,ORD000216,P00308,1,16589.79,28.33
ITEM000217,ORD000217,P00320,2,13712.97,24.52
ITEM000218,ORD000218,P00069,1,54783.95,5.61
ITEM000219,ORD000219,P00493,2,16330.63,32.28
ITEM000220,ORD000220,P00249,4,55931.28,25.84
ITEM000221,ORD000221,P00401,5,18098.76,33.37
ITEM000222,ORD000222,P00073,2,33229.98,11.05
ITEM000223,ORD000223,P00412,1,12243.53,23.44
ITEM000224,ORD000224,P00156,2,29108.07,26.89
ITEM000225,ORD000225,P00336,-1,50911.4,20.82
ITEM000226,ORD000226,P00537,1,31469.19,23.94
ITEM000227,ORD000227,P00238,4,31338.05,4.99
ITEM000228,ORD000228,P00466,2,49004.07,39.16
ITEM000229,ORD000229,P00350,3,10572.02,1.64
ITEM000230,ORD000230,P00262,1,10905.16,17.04
ITEM000231,ORD000231,P00173,4,62737.19,8.99
ITEM000232,ORD000232,P00106,1,26084.06,24.13
ITEM000233,ORD000233,P00372,2,4091.1,26.6
ITEM000234,ORD000234,P00443,4,3655.92,4.21
ITEM000235,ORD000235,P00287,3,21025.04,25.61
ITEM000236,ORD000236,P00337,4,13890.01,10.05
ITEM000237,ORD000237,P00366,1,37417.75,28.52
ITEM000238,ORD000238,P00498,2,44315.9,8.86
ITEM000239,ORD000239,P00445,3,7766.52,31.24
ITEM000240,ORD000240,P00500,5,5857.49,22.62
ITEM000241,ORD000241,P00532,4,45043.5,4.31
ITEM000242,ORD000242,P00101,5,33025.81,38.67
ITEM000243,ORD000243,P00245,3,28913.5,28.37
ITEM000244,ORD000244,P00432,4,18673.42,1.59
ITEM000245,ORD000245,P00451,4,24591.9,20.91
ITEM000246,ORD000246,P00409,4,57479.82,1.03
ITEM000247,ORD000247,P00581,2,54194.67,37.84
ITEM000248,ORD000248,P00102,3,69455.08,32.08
ITEM000249,ORD000249,P00468,3,54579.67,27.32
ITEM000250,ORD000250,P00361,2,55603.42,31.35
ITEM000251,ORD000251,P00333,4,48720.02,25.39
ITEM000252,ORD000252,P00165,2,62907.64,34.54
ITEM000253,ORD000253,P00330,4,20015.33,31.24
ITEM000254,ORD000254,P00177,4,74577.59,13.35
ITEM000255,ORD000255,P00552,2,23703.62,12.23
ITEM000256,ORD000256,P00093,4,25403.28,19.89
ITEM000257,ORD000257,P00191,4,51224.35,34.24
ITEM000258,ORD000258,P00498,3,39205.12,17.51
ITEM000259,ORD000259,P00371,2,1263.39,12.91
ITEM000260,ORD000260,P00115,2,74679.71,36.35
ITEM000261,ORD000261,P00574,3,57370.58,21.53
ITEM000262,ORD000262,P00408,5,61599.99,7.94
ITEM000263,ORD000263,P00093,5,33515.88,26.53
ITEM000264,ORD000264,P00270,2,19987.65,21.31
ITEM000265,ORD000265,P00407,2,87051.37,4.15
ITEM000266,ORD000266,P00301,5,5609.97,3.29
ITEM000267,ORD000267,P00231,4,43669.66,9.84
ITEM000268,ORD000268,P00159,3,36717.89,8.98
ITEM000269,ORD000269,P00225,2,36852.68,17.61
ITEM000270,ORD000270,P00222,2,34721.65,9.75
ITEM000271,ORD000271,P00022,5,3350.76,17.56
ITEM000272,ORD000272,P00570,5,28724.97,7.69
ITEM000273,ORD000273,P00191,5,62163.28,25.09
ITEM000274,ORD000274,P00397,3,24883.76,39.28
ITEM000275,ORD000275,P00270,4,16967.11,36.0
ITEM000276,ORD000276,P00241,3,59599.31,3.08
ITEM000277,ORD000277,P00138,3,36533.52,39.45
ITEM000278,ORD000278,P00253,5,12477.82,3.86
ITEM000279,ORD000279,P00520,4,32969.51,4.19
ITEM000280,ORD000280,P00234,3,27630.54,25.8
ITEM000281,ORD000281,P00568,2,12500.87,22.97
ITEM000282,ORD000282,P00055,4,51465.25,19.89
ITEM000283,ORD000283,P00447,1,75213.7,6.85
ITEM000284,ORD000284,P00574,4,52497.09,2.3
ITEM000285,ORD000285,P00356,4,83239.64,5.92
ITEM000286,ORD000286,P00363,1,14057.69,11.04
ITEM000287,ORD000287,P00259,1,35469.48,19.63
ITEM000288,ORD000288,P00137,4,38209.72,18.08
ITEM000289,ORD000289,P00552,3,23879.38,22.79
ITEM000290,ORD000290,P00521,4,9027.29,21.58
ITEM000291,ORD000291,P00323,1,67954.65,2.12
ITEM000292,ORD000292,P00367,5,6931.2,39.09
ITEM000293,ORD000293,P00066,5,55654.25,6.45
ITEM000294,ORD000294,P00200,2,68105.93,30.95
ITEM000295,ORD000295,P00184,2,54474.71,37.15
ITEM000296,ORD000296,P00123,3,38030.81,37.85
ITEM000297,ORD000297,P00588,4,39842.13,15.25
ITEM000298,ORD000298,P00486,2,8172.17,7.32
ITEM000299,ORD000299,P00319,3,59640.27,17.21
ITEM000300,ORD000300,P00259,-4,25800.88,10.42
ITEM000301,ORD000301,P00206,2,10744.36,25.89
ITEM000302,ORD000302,P00084,3,11933.81,3.76
ITEM000303,ORD000303,P00264,1,62663.26,2.44
ITEM000304,ORD000304,P00571,1,58274.01,3.82
ITEM000305,ORD000305,P00002,-5,25731.87,13.07
ITEM000306,ORD000306,P00314,1,44702.86,22.72
ITEM000307,ORD000307,P00384,1,28418.53,7.54
ITEM000308,ORD000308,P00511,2,68149.72,39.03
ITEM000309,ORD000309,P00100,2,12836.18,22.96
ITEM000310,ORD000310,P00452,2,33020.71,32.57
ITEM000311,ORD000311,P00456,1,59161.68,37.41
ITEM000312,ORD000312,P00124,3,21847.02,4.31
ITEM000313,ORD000313,P00185,5,46490.17,36.01
ITEM000314,ORD000314,P00510,2,3999.21,39.89
ITEM000315,ORD000315,P00346,4,32648.95,21.92
ITEM000316,ORD000316,P00399,4,40307.76,26.75
ITEM000317,ORD000317,P00068,-3,37597.34,5.66
ITEM000318,ORD000318,P00503,2,53541.1,1.66
ITEM000319,ORD000319,P00061,4,9672.58,36.39
ITEM000320,ORD000320,P00102,5,46330.79,26.19
ITEM000321,ORD000321,P00540,5,58740.52,21.28
ITEM000322,ORD000322,P00404,5,18920.57,11.3
ITEM000323,ORD000323,P00139,-4,50416.63,11.72
ITEM000324,ORD000324,P00437,4,52560.28,3.3
ITEM000325,ORD000325,P00025,4,20198.97,22.45
ITEM000326,ORD000326,P00399,3,33154.64,31.45
ITEM000327,ORD000327,P00295,1,61658.21,1.67
ITEM000328,ORD000328,P00092,3,16963.4,29.91
ITEM000329,ORD000329,P00585,5,3545.31,12.55
ITEM000330,ORD000330,P00050,5,44777.56,38.67
ITEM000331,ORD000331,P00395,2,58312.22,21.51
ITEM000332,ORD000332,P00445,5,9713.58,7.13
ITEM000333,ORD000333,P00380,1,57022.84,3.95
ITEM000334,ORD000334,P00191,2,65961.68,2.92
ITEM000335,ORD000335,P00209,4,26695.66,25.62
ITEM000336,ORD000336,P00016,1,45562.85,8.24
ITEM000337,ORD000337,P00120,3,12142.27,9.62
ITEM000338,ORD000338,P00339,2,12441.57,33.06
ITEM000339,ORD000339,P00381,4,12787.77,5.67
ITEM000340,ORD000340,P00253,5,12997.59,35.28
ITEM000341,ORD000341,P00433,5,67543.29,36.08
ITEM000342,ORD000342,P00318,2,80971.99,26.13
ITEM000343,ORD000343,P00280,4,15061.68,16.64
ITEM000344,ORD000344,P00424,4,13385.76,36.04
ITEM000345,ORD000345,P00500,3,5839.98,25.06
ITEM000346,ORD000346,P00405,1,29326.48,17.97
ITEM000347,ORD000347,P00229,1,6168.48,4.61
ITEM000348,ORD000348,P00501,1,61243.57,13.1
ITEM000349,ORD000349,P00263,4,8115.25,11.46
ITEM000350,ORD000350,P00584,3,2345.29,4.78
ITEM000351,ORD000351,P00207,1,34053.25,19.92
ITEM000352,ORD000352,P00131,5,10705.09,18.76
ITEM000353,ORD000353,P00112,1,36136.3,33.32
ITEM000354,ORD000354,P00189,1,32587.39,32.26
ITEM000355,ORD000355,P00248,4,49158.68,17.52
ITEM000356,ORD000356,P00147,4,74304.46,1.64
ITEM000357,ORD000357,P00516,2,35037.36,29.0
ITEM000358,ORD000358,P00045,5,12007.78,6.11
ITEM000359,ORD000359,P00257,2,61877.43,8.03
ITEM000360,ORD000360,P00058,4,21499.67,37.87
ITEM000361,ORD000361,P00518,1,57128.65,25.09
ITEM000362,ORD000362,P00344,4,45986.32,17.62
ITEM000363,ORD000363,P00252,5,44915.43,22.27
ITEM000364,ORD000364,P00147,5,86886.25,2.27
ITEM000365,ORD000365,P00067,4,67196.67,0.7
ITEM000366,ORD000366,P00174,3,27460.12,5.74
ITEM000367,ORD000367,P00107,2,43126.19,0.14
ITEM000368,ORD000368,P00060,4,32250.57,4.79
ITEM000369,ORD000369,P00230,1,44424.83,2.96
ITEM000370,ORD000370,P00488,5,61605.95,11.3
ITEM000371,ORD000371,P00397,4,27106.47,9.51
ITEM000372,ORD000372,P00503,5,41227.76,39.21
ITEM000373,ORD000373,P00466,4,74345.06,6.13
ITEM000374,ORD000374,P00550,3,50835.32,11.47
ITEM000375,ORD000375,P00179,4,44001.44,35.28
ITEM000376,ORD000376,P00377,1,2614.63,11.99
ITEM000377,ORD000377,P00044,4,446.78,35.19
ITEM000378,ORD000378,P00233,4,596.51,25.06
ITEM000379,ORD000379,P00214,4,60999.74,16.71
ITEM000380,ORD000380,P00464,4,40016.06,18.54
ITEM000381,ORD000381,P00346,3,29211.28,5.32
ITEM000382,ORD000382,P00543,2,20543.64,28.5
ITEM000383,ORD000383,P00583,2,15626.02,29.17
ITEM000384,ORD000384,P00373,4,27096.77,30.56
ITEM000385,ORD000385,P00419,3,26080.38,8.54
ITEM000386,ORD000386,P00145,4,35144.29,26.09
ITEM000387,ORD000387,P00308,5,19988.23,7.98
ITEM000388,ORD000388,P00346,5,32143.79,26.39
ITEM000389,ORD000389,P00530,4,25774.94,17.72
ITEM000390,ORD000390,P00212,4,66054.12,6.89
ITEM000391,ORD000391,P00577,2,11137.75,23.0
ITEM000392,ORD000392,P00203,2,58085.73,18.74
ITEM000393,ORD000393,P00134,4,48766.93,37.32
ITEM000394,ORD000394,P00544,-1,21389.05,31.48
ITEM000395,ORD000395,P00088,1,34297.58,34.49
ITEM000396,ORD000396,P00055,3,56958.88,12.53
ITEM000397,ORD000397,P00366,2,54673.72,38.32
ITEM000398,ORD000398,P00315,1,10451.64,36.37
ITEM000399,ORD000399,P00598,4,46549.78,28.14
ITEM000400,ORD000400,P00297,3,32043.64,22.48
ITEM000401,ORD000401,P00156,2,28700.73,21.29
ITEM000402,ORD000402,P00420,2,56696.31,25.15
ITEM000403,ORD000403,P00288,-2,56958.75,26.55
ITEM000404,ORD000404,P00151,4,30097.22,1.58
ITEM000405,ORD000405,P00391,4,35282.12,6.82
ITEM000406,ORD000406,P00021,5,5459.98,32.72
ITEM000407,ORD000407,P00452,5,34046.58,17.89
ITEM000408,ORD000408,P00021,4,6084.57,22.67
ITEM000409,ORD000409,P00348,1,75163.08,2.76
ITEM000410,ORD000410,P00139,5,40410.44,15.74
ITEM000411,ORD000411,P00154,1,12324.46,31.64
ITEM000412,ORD000412,P00202,3,40895.86,31.71
ITEM000413,ORD000413,P00086,3,14361.63,31.97
ITEM000414,ORD000414,P00017,5,30131.17,16.71
ITEM000415,ORD000415,P00174,3,34260.53,7.68
ITEM000416,ORD000416,P00287,5,21021.21,0.94
ITEM000417,ORD000417,P00327,2,24922.05,9.55
ITEM000418,ORD000418,P00314,3,38084.39,17.32
ITEM000419,ORD000419,P00042,3,36617.37,30.39
ITEM000420,ORD000420,P00470,1,47009.46,1.25
ITEM000421,ORD000421,P00011,5,46300.26,15.23
ITEM000422,ORD000422,P00482,4,65314.59,27.81
ITEM000423,ORD000423,P00277,4,58475.61,32.13
ITEM000424,ORD000424,P00435,4,71443.31,5.29
ITEM000425,ORD000425,P00355,3,19655.52,19.55
ITEM000426,ORD000426,P00274,1,81870.92,36.75
ITEM000427,ORD000427,P00087,3,71723.44,35.83
ITEM000428,ORD000428,P00024,2,2042.17,4.28
ITEM000429,ORD000429,P00077,2,39184.12,6.16
ITEM000430,ORD000430,P00243,1,31434.78,0.39
ITEM000431,ORD000431,P00014,3,29429.25,24.7
ITEM000432,ORD000432,P00160,5,53995.74,34.85
ITEM000433,ORD000433,P00472,3,17871.9,4.23
ITEM000434,ORD000434,P00125,1,69694.32,7.98
ITEM000435,ORD000435,P00084,2,9810.17,38.06
ITEM000436,ORD000436,P00004,4,57154.33,9.32
ITEM000437,ORD000437,P00052,1,25158.95,25.02
ITEM000438,ORD000438,P00198,4,65948.84,28.33
ITEM000439,ORD000439,P00508,5,9907.76,18.77
ITEM000440,ORD000440,P00063,4,28212.47,0.25
ITEM000441,ORD000441,P00181,2,55813.02,35.13
ITEM000442,ORD000442,P00590,2,48884.35,28.11
ITEM000443,ORD000443,P00078,2,26107.66,12.86
ITEM000444,ORD000444,P00234,2,23732.84,33.44
ITEM000445,ORD000445,P00304,5,15087.9,25.62
ITEM000446,ORD000446,P00224,4,48202.37,13.79
ITEM000447,ORD000447,P00247,5,48324.96,35.62
ITEM000448,ORD000448,P00258,-3,50211.33,2.59
ITEM000449,ORD000449,P00065,4,45206.43,29.32
ITEM000450,ORD000450,P00441,1,31087.75,35.95
ITEM000451,ORD000451,P00457,1,9879.42,26.98
ITEM000452,ORD000452,P00327,5,35965.45,36.58
ITEM000453,ORD000453,P00068,5,37932.75,33.59
ITEM000454,ORD000454,P00462,3,29116.87,19.22
ITEM000455,ORD000455,P00512,3,35489.93,12.54
ITEM000456,ORD000456,P00195,2,41419.37,1.71
ITEM000457,ORD000457,P00362,4,12012.9,18.47
ITEM000458,ORD000458,P00413,4,79641.92,18.58
ITEM000459,ORD000459,P00157,2,4943.86,15.42
ITEM000460,ORD000460,P00026,2,9179.3,15.26
ITEM000461,ORD000461,P00153,4,55294.21,17.38
ITEM000462,ORD000462,P00177,2,66477.84,7.36
ITEM000463,ORD000463,P00098,1,48823.2,6.0
ITEM000464,ORD000464,P00346,2,20805.04,15.69
ITEM000465,ORD000465,P00311,5,27487.73,7.6
ITEM000466,ORD000466,P00512,4,30499.65,34.06
ITEM000467,ORD000467,P00500,-1,5176.36,4.24
ITEM000468,ORD000468,P00332,4,8981.57,5.66
ITEM000469,ORD000469,P00532,4,66302.21,16.65
ITEM000470,ORD000470,P00014,-3,26552.71,13.54
ITEM000471,ORD000471,P00319,5,68220.06,4.87
ITEM000472,ORD000472,P00133,5,13716.55,28.99
ITEM000473,ORD000473,P00132,3,60746.45,18.94
ITEM000474,ORD000474,P00019,4,49097.49,9.84
ITEM000475,ORD000475,P00335,2,57910.42,36.1
ITEM000476,ORD000476,P00488,3,59109.87,23.09
ITEM000477,ORD000477,P00340,2,1153.74,38.62
ITEM000478,ORD000478,P00587,2,1746.32,24.38
ITEM000479,ORD000479,P00256,4,55944.84,35.62
ITEM000480,ORD000480,P00321,5,28159.07,15.37
ITEM000481,ORD000481,P00152,5,59655.65,21.17
ITEM000482,ORD000482,P00474,5,12979.61,37.89
ITEM000483,ORD000483,P00273,1,20254.17,31.1
ITEM000484,ORD000484,P00283,2,53118.04,31.11
ITEM000485,ORD000485,P00486,2,6064.06,0.12
ITEM000486,ORD000486,P00365,5,64303.58,5.84
ITEM000487,ORD000487,P00280,3,13692.61,12.57
ITEM000488,ORD000488,P00550,2,67833.49,25.83
ITEM000489,ORD000489,P00124,3,20089.71,29.42
ITEM000490,ORD000490,P00200,5,63275.82,11.3
ITEM000491,ORD000491,P00386,4,45518.17,34.11
ITEM000492,ORD000492,P00306,3,58965.32,11.84
ITEM000493,ORD000493,P00030,-4,29857.06,18.6
ITEM000494,ORD000494,P00152,4,69242.83,22.21
ITEM000495,ORD000495,P00455,3,8100.98,10.94
ITEM000496,ORD000496,P00283,2,62519.44,18.13
ITEM000497,ORD000497,P00167,5,8561.11,38.24
